"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"failover","csredis","warmup","all","500","10","172.72","184.12","893.07","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\csredis\run-iter-03\warmup.log"
"failover","csredis","baseline-get","get","2000","40","3735.54","13.02","119.25","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\csredis\run-iter-03\baseline-get.log"
"failover","csredis","baseline-pipeline","pipeline","2000","40","126.89","3149.29","7235.47","135","1865","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\csredis\run-iter-03\baseline-pipeline.log"
"failover","csredis","baseline-cacheshell","cacheshell","2000","40","940.37","1.29","2069.38","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\csredis\run-iter-03\baseline-cacheshell.log"
"failover","csredis","baseline-slot","slot","2000","40","931.23","1.69","2081.67","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\csredis\run-iter-03\baseline-slot.log"
"failover","csredis","baseline-node","node","200","10","95.22","5.45","2086.14","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\csredis\run-iter-03\baseline-node.log"
"failover","csredis","mixed","all","8000","80","3507.43","1.01","18.29","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\csredis\run-iter-03\mixed.log"
"failover","stackexchange","warmup","all","500","10","208.97","184.44","338.93","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\stackexchange\run-iter-03\warmup.log"
"failover","stackexchange","baseline-get","get","2000","40","3706.32","14.62","117.30","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\stackexchange\run-iter-03\baseline-get.log"
"failover","stackexchange","baseline-pipeline","pipeline","2000","40","170.49","130.61","5960.61","1920","80","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\stackexchange\run-iter-03\baseline-pipeline.log"
"failover","stackexchange","baseline-cacheshell","cacheshell","2000","40","1555.08","34.17","134.38","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\stackexchange\run-iter-03\baseline-cacheshell.log"
"failover","stackexchange","baseline-slot","slot","2000","40","4873.91","9.55","131.55","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\stackexchange\run-iter-03\baseline-slot.log"
"failover","stackexchange","baseline-node","node","200","10","96.39","207.89","269.16","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\stackexchange\run-iter-03\baseline-node.log"
"failover","stackexchange","mixed","all","8000","80","446.88","713.85","1151.75","7511","489","OK","artifacts\chaos-10x\batch-real5x10\iter-03\run-iter-03\failover\stackexchange\run-iter-03\mixed.log"
