"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"scale-in","csredis","baseline-cacheshell","cacheshell","2000","40","944.13","1.24","2065.61","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\csredis\run-iter-04\baseline-cacheshell.log"
"scale-in","csredis","baseline-slot","slot","2000","40","945.55","1.31","2063.84","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\csredis\run-iter-04\baseline-slot.log"
"scale-in","csredis","baseline-node","node","200","10","96.01","0.29","2075.88","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\csredis\run-iter-04\baseline-node.log"
"scale-in","csredis","mixed","all","8000","80","3504.13","1.44","15.26","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\csredis\run-iter-04\mixed.log"
"scale-in","stackexchange","warmup","all","500","10","445.53","88.38","164.14","400","100","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\warmup.log"
"scale-in","stackexchange","baseline-get","get","2000","40","4173.05","13.95","117.15","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-get.log"
"scale-in","stackexchange","baseline-pipeline","pipeline","2000","40","2497.54","26.56","142.22","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-pipeline.log"
"scale-in","stackexchange","baseline-cacheshell","cacheshell","2000","40","2403.51","31.05","119.19","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-cacheshell.log"
"scale-in","stackexchange","baseline-slot","slot","2000","40","5378.18","9.29","123.22","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-slot.log"
"scale-in","stackexchange","baseline-node","node","200","10","13.12","6969.12","7287.75","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\baseline-node.log"
"scale-in","stackexchange","mixed","all","8000","80","576.24","559.58","812.06","6400","1600","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\scale-in\stackexchange\run-iter-04\mixed.log"
