"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"failover","csredis","warmup","all","500","10","230.23","164.75","288.77","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\csredis\run-iter-04\warmup.log"
"failover","csredis","baseline-get","get","2000","40","4154.63","11.30","120.22","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\csredis\run-iter-04\baseline-get.log"
"failover","csredis","baseline-pipeline","pipeline","2000","40","147.17","163.23","7875.10","93","1907","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\csredis\run-iter-04\baseline-pipeline.log"
"failover","csredis","baseline-cacheshell","cacheshell","2000","40","754.18","5.80","2037.69","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\csredis\run-iter-04\baseline-cacheshell.log"
"failover","csredis","baseline-slot","slot","2000","40","942.02","1.27","2074.14","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\csredis\run-iter-04\baseline-slot.log"
"failover","csredis","baseline-node","node","200","10","95.92","9.73","2067.26","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\csredis\run-iter-04\baseline-node.log"
"failover","csredis","mixed","all","8000","80","3506.58","1.18","17.53","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\csredis\run-iter-04\mixed.log"
"failover","stackexchange","warmup","all","500","10","129.04","135.06","340.56","500","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\stackexchange\run-iter-04\warmup.log"
"failover","stackexchange","baseline-get","get","2000","40","174.90","128.64","5944.82","1891","109","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\stackexchange\run-iter-04\baseline-get.log"
"failover","stackexchange","baseline-pipeline","pipeline","2000","40","2329.18","27.75","134.56","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\stackexchange\run-iter-04\baseline-pipeline.log"
"failover","stackexchange","baseline-cacheshell","cacheshell","2000","40","1658.90","32.66","133.59","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\stackexchange\run-iter-04\baseline-cacheshell.log"
"failover","stackexchange","baseline-slot","slot","2000","40","3651.27","13.44","178.98","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\stackexchange\run-iter-04\baseline-slot.log"
"failover","stackexchange","baseline-node","node","200","10","99.90","200.35","211.98","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\stackexchange\run-iter-04\baseline-node.log"
"failover","stackexchange","mixed","all","8000","80","533.47","522.27","858.31","7552","448","OK","artifacts\chaos-10x\batch-real5x10\iter-04\run-iter-04\failover\stackexchange\run-iter-04\mixed.log"
