"Scenario","Suite","Phase","Method","Total","Concurrency","Qps","P95","P99","Success","Failed","Status","Log"
"node-down","csredis","warmup","all","500","10","236.98","0.20","2095.82","0","500","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\csredis\run-iter-01\warmup.log"
"node-down","csredis","baseline-get","get","2000","40","944.04","1.65","2073.03","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-get.log"
"node-down","csredis","baseline-pipeline","pipeline","2000","40","941.97","1.68","2071.42","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-pipeline.log"
"node-down","csredis","baseline-cacheshell","cacheshell","2000","40","949.65","1.21","2064.68","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-cacheshell.log"
"node-down","csredis","baseline-slot","slot","2000","40","956.35","0.68","2052.04","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-slot.log"
"node-down","csredis","baseline-node","node","200","10","97.13","0.26","2052.83","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\csredis\run-iter-01\baseline-node.log"
"node-down","csredis","mixed","all","8000","80","3514.85","1.90","14.36","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\csredis\run-iter-01\mixed.log"
"node-down","stackexchange","warmup","all","500","10","355.69","113.86","157.85","391","109","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\warmup.log"
"node-down","stackexchange","baseline-get","get","2000","40","3736.03","16.57","113.93","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-get.log"
"node-down","stackexchange","baseline-pipeline","pipeline","2000","40","2019.56","42.88","127.74","1851","149","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-pipeline.log"
"node-down","stackexchange","baseline-cacheshell","cacheshell","2000","40","2787.57","19.02","110.88","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-cacheshell.log"
"node-down","stackexchange","baseline-slot","slot","2000","40","5096.47","8.67","132.21","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-slot.log"
"node-down","stackexchange","baseline-node","node","200","10","12.05","7047.37","7172.31","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\baseline-node.log"
"node-down","stackexchange","mixed","all","8000","80","583.54","528.33","729.37","6549","1451","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\node-down\stackexchange\run-iter-01\mixed.log"
"scale-in","csredis","warmup","all","500","10","242.26","0.21","2052.15","0","500","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\warmup.log"
"scale-in","csredis","baseline-get","get","2000","40","928.97","2.80","2104.05","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-get.log"
"scale-in","csredis","baseline-pipeline","pipeline","2000","40","949.72","0.80","2063.80","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-pipeline.log"
"scale-in","csredis","baseline-cacheshell","cacheshell","2000","40","944.15","1.36","2072.35","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-cacheshell.log"
"scale-in","csredis","baseline-slot","slot","2000","40","955.62","0.36","2049.13","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-slot.log"
"scale-in","csredis","baseline-node","node","200","10","97.20","0.28","2050.99","0","200","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\baseline-node.log"
"scale-in","csredis","mixed","all","8000","80","3633.20","0.75","8.31","0","8000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\csredis\run-iter-01\mixed.log"
"scale-in","stackexchange","warmup","all","500","10","424.68","95.05","133.88","400","100","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\warmup.log"
"scale-in","stackexchange","baseline-get","get","2000","40","2961.24","26.21","110.61","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-get.log"
"scale-in","stackexchange","baseline-pipeline","pipeline","2000","40","2386.06","29.33","128.28","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-pipeline.log"
"scale-in","stackexchange","baseline-cacheshell","cacheshell","2000","40","2401.15","23.42","119.11","0","2000","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-cacheshell.log"
"scale-in","stackexchange","baseline-slot","slot","2000","40","5601.32","7.78","102.49","2000","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-slot.log"
"scale-in","stackexchange","baseline-node","node","200","10","12.42","7052.67","7185.20","200","0","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\baseline-node.log"
"scale-in","stackexchange","mixed","all","8000","80","526.68","604.23","975.27","6400","1600","OK","artifacts\chaos-10x\batch-real5x10\iter-01\run-iter-01\scale-in\stackexchange\run-iter-01\mixed.log"
